1566400951577056	138	103	1
1566400951577593	190	31	0
1566400951577602	239	2	1
1566400951577901	238	175	0
1566400951578882	91	107	0
1566400951579997	157	28	1
1566400951581469	239	2	0
1566400951583680	157	28	0
1566400951583792	239	2	1
1566400951587722	87	179	0
1566400951589466	194	147	0
1566400951589698	158	68	0
1566400951589937	164	15	0
1566400951590206	157	28	1
1566400951590465	239	2	0
1566400951593916	138	103	0
1566400951597413	87	179	1
1566400951598194	158	68	1
1566400951599436	229	7	0
1566400951599705	87	179	1
1566400951600760	124	121	1
1566400951602628	154	59	1
1566400951602670	239	2	1
1566400951603073	87	179	0
1566400951604408	154	59	0
1566400951604689	138	103	0
1566400951606309	140	129	0
1566400951606328	239	2	1
1566400951607493	132	27	0
1566400951608175	87	179	0
1566400951609110	186	123	1
1566400951609373	239	2	0
1566400951609605	87	179	1
1566400951611218	87	179	1
1566400951612464	239	2	1
1566400951612902	191	99	1
1566400951615286	239	2	1
1566400951616147	87	179	0
1566400951618033	239	2	1
1566400951618286	236	73	0
1566400951618697	87	179	1
1566400951620609	162	54	0
1566400951620761	87	179	1
1566400951620763	170	85	1
1566400951621010	154	59	1
1566400951623511	87	179	1
1566400951623999	186	123	0
1566400951624097	93	33	1
1566400951624115	154	59	0
1566400951625619	87	179	0
1566400951626403	239	2	0
1566400951627682	87	179	1
1566400951628497	124	121	0
1566400951628586	239	2	0
1566400951629435	168	147	0
1566400951630239	134	102	0
1566400951630309	154	59	1
1566400951630357	87	179	1
1566400951630395	93	33	1
1566400951630827	121	9	1
1566400951631620	87	179	1
1566400951633267	239	2	0
1566400951638147	159	13	1
1566400951640399	158	69	0
1566400951643635	124	121	1
1566400951643852	87	179	1
1566400951644485	196	145	1
1566400951645225	87	179	1
1566400951646519	87	179	1
1566400951647023	196	145	0
1566400951647895	87	179	1
1566400951648083	138	103	0
1566400951648334	167	70	0
1566400951649206	239	2	0
1566400951649425	87	179	1
1566400951650139	138	59	0
1566400951650440	137	59	0
1566400951650606	191	150	0
1566400951650983	137	57	1
1566400951652650	153	94	0
1566400951652874	239	2	0
1566400951652957	210	143	0
1566400951654404	87	179	0
1566400951655302	93	103	0
1566400951655789	87	179	1
1566400951656385	153	94	0
1566400951656740	93	100	0
1566400951657203	128	114	0
1566400951657372	124	121	0
1566400951657557	210	143	1
1566400951657702	106	107	0
1566400951657732	121	127	0
1566400951657922	106	111	0
1566400951657931	99	116	0
1566400951657937	154	146	0
1566400951658157	112	74	0
1566400951658217	100	100	0
1566400951658311	146	103	0
1566400951658420	137	57	0
1566400951658431	101	118	0
1566400951658707	130	93	0
1566400951658749	107	70	0
1566400951658808	174	111	0
1566400951658974	172	146	0
1566400951659176	239	2	0
1566400951659207	87	179	0
1566400951659932	104	116	0
1566400951660152	157	156	0
1566400951660184	98	105	0
1566400951660205	137	59	1
1566400951660372	128	114	1
1566400951660409	138	69	0
1566400951660478	111	70	0
1566400951660532	188	73	0
1566400951660560	210	143	0
1566400951660568	87	179	1
